,SRR893051,SRR893073,SRR893053,SRR893063,SRR893047,SRR893074,SRR893057,SRR893070,SRR893050,SRR893072,SRR893049,SRR893065,SRR893048,SRR893054,SRR893056,SRR893046,SRR893066,SRR893068,SRR893069,SRR893067,SRR893055,SRR893071,SRR893058,SRR893061,SRR893064,SRR893059,SRR893060,SRR893052,SRR893062
,pronucleus,morula,zygote,8-cell blastomere,oocyte,morula,4-cell blastomere,8-cell blastomere,pronucleus,morula,pronucleus,8-cell blastomere,oocyte,2-cell blastomere,2-cell blastomere,oocyte,8-cell blastomere,8-cell blastomere,8-cell blastomere,8-cell blastomere,2-cell blastomere,8-cell blastomere,4-cell blastomere,8-cell blastomere,8-cell blastomere,4-cell blastomere,4-cell blastomere,zygote,8-cell blastomere
ENSG00000048544,15.6257,19.5342,14.0871,21.7871,7.79645,45.1402,9.20946,0,12.7326,22.0207,9.73364,9.65915,4.52643,18.1254,12.6354,0.659217,0,0,0,0,7.54599,6.38377,0.811966,8.2284,0,0,8.90393,10.4798,8.27722
ENSG00000104517,11.4633,5.48973,9.44538,21.207,10.9697,9.34041,16.575,2.51618,8.75686,5.36524,9.17059,6.87927,17.7557,18.8362,8.55183,9.65566,6.31807,1.84215,9.6424,2.85741,14.0561,8.03861,8.86173,13.4516,0.345971,4.24224,10.9297,14.0759,7.28673
ENSG00000152894,14.6405,0,19.0715,3.47267,41.0367,0,7.16538,0,17.3478,0.160155,10.3844,3.65211,30.6824,18.6374,10.1579,32.3438,3.47669,2.71766,0,2.66251,14.4903,4.42265,6.55015,1.07265,3.71537,4.05903,7.63896,9.98816,4.43819
ENSG00000119401,25.6891,1.76495,16.2566,3.81303,1.60426,3.51246,16.8533,0,12.8748,3.70105,18.1467,10.4928,0.329564,32.9671,8.73702,2.9438,0,27.9143,0,15.984,13.4833,3.48335,16.7287,0.910701,0.789345,4.17218,5.52843,25.4825,0
ENSG00000099194,0,28.7535,0,21.9146,0,41.873,0,10.2803,0,86.5903,0,12.055,0,0,0,0,19.9483,14.6322,11.5675,2.59096,0,5.24996,0,15.7013,0,0,0,0,3.11691
ENSG00000138363,5.01246,13.3782,5.99885,2.93549,9.91984,19.0532,12.3404,0,6.07339,29.054,2.64368,16.3797,2.45789,10.4225,1.15079,0,14.2967,8.57316,1.57455,7.99944,7.87711,5.2786,11.2015,8.9925,34.9942,11.8181,7.41699,8.82002,8.61597
ENSG00000145782,0.209726,9.35706,0.415868,26.2196,0.450015,9.8671,1.46555,1.09446,1.07364,8.24219,0.272617,36.824,0,0.0938561,0,0,22.5126,22.6667,16.5218,37.2204,0.0923407,7.18585,0,27.4067,29.0672,0,0,0.686572,15.4474
ENSG00000143771,1.83963,49.2807,2.70378,8.28827,0.658025,104.408,2.58301,0,1.51185,25.8953,0.848729,20.9689,0.346178,3.91457,2.94958,0,0,1.62243,4.5408,0,1.01423,4.6609,4.6896,4.81486,1.81637,9.73501,4.68665,3.71968,6.93364
ENSG00000240682,0,3.07458,0,21.9885,0,2.45311,0.312342,10.8234,0.26842,6.86239,0,32.0761,0,0.312865,1.07949,0,35.8517,21.2583,25.072,26.1399,0,14.6475,1.00619,36.2321,16.5793,0,0,0.495876,17.9066
ENSG00000106299,14.4085,24.7899,16.3386,1.77889,33.3832,33.1357,5.79385,3.59938,19.5137,4.18681,8.61137,0,31.928,9.78084,7.94588,10.6808,0,0,6.57432,0,12.0842,0.682505,0.456538,2.58171,0,12.3355,2.77805,11.1554,0
ENSG00000283468,0,129.609,0,0,0,80.0438,0,0,0,0,0,0,0,0,0,0,0,30.0769,0,0,0,0,0,0,0,0,0,0,34.9451
ENSG00000249156,0,0,0,3.69535,0,0,117.04,0,0,0,0,8.3561,0,0,1.52622,0,46.0906,45.6129,0,4.28492,0,15.8579,27.199,0,1.89131,0,1.43898,0,1.84333
ENSG00000196074,20.7654,0,3.51321,1.47823,22.3985,0,28.027,0,33.0806,0,20.0928,2.14768,39.0301,14.8463,7.97532,10.3376,0,0,0,0,29.6507,3.18327,10.6467,2.84714,0,4.43712,6.14798,9.06198,5.47963
ENSG00000283740,0,0,0,14.8434,0,0,101.998,0,1.2835,0,0,0,0,0,0,0,0,22.8251,0,0,0,70.6951,14.5245,0,0,0,7.25475,0,41.8865
ENSG00000139579,11.4507,1.93659,4.58279,16.1774,0.930738,3.18207,10.8149,57.3522,12.6422,4.85484,16.5166,3.28816,0.889289,8.33209,33.6896,1.18456,2.30173,10.1751,3.8242,11.0559,3.18225,5.18587,11.2002,10.2233,1.15968,0,1.65725,10.3245,17.4438
ENSG00000152147,0.868226,25.923,1.05946,12.5243,0,46.8214,0.799767,52.1615,0.690108,21.2698,0.740815,13.6079,0,2.60442,3.08844,0,0.830789,7.64066,7.05057,11.0964,1.41147,12.3547,0,10.382,21.7995,0,0,1.83561,19.1617
ENSG00000171984,4.4835,9.45051,6.74132,1.24798,52.9133,20.2823,6.14768,6.59469,3.88152,7.52229,2.64389,27.0016,21.897,3.58168,11.4365,21.3845,0,12.8434,0,22.0773,7.86005,9.69252,0,2.02259,0,0,1.95971,7.63331,4.46789
ENSG00000152102,9.47454,3.81706,8.55767,16.3164,7.57286,2.64861,9.67829,16.3377,11.3314,6.97334,10.0309,18.6944,12.5683,7.16659,6.78942,6.17061,9.62052,2.30449,19.508,14.3763,4.63592,15.4269,3.99763,12.8329,4.95978,0,1.71584,15.1514,17.128
